Skill                   	URL                                                              	Summary                                                                                                                                                                                                        	Examples
I Like Brands           	https://github.com/NeonGeckoCom/skill-i_like_brands.git          	Skill that lets Neon catch user’s preferences from the list of available brands.                                                                                                                               	i like neon,i don't like alpha
User Settings           	https://github.com/NeonGeckoCom/skill-user_settings              	Have Neon help you change and control your user settings.                                                                                                                                                      	Change my units to metric.,Use imperial units.,Change my time format to military time.,Change my time format to twelve hour time.,Enable hesitation.,Disable hesitation.,Use limited responses.,Use standard responses.,Enable audio recordings.,Disable audio recordings.,Permit transcriptions.,Disable transcriptions.,Talk to me faster.,Talk to me slower.,Talk to me normally.,Change my location to Seattle.,Change my timezone to London.,Tell me my name.,Tell me my first name.,Tell me my last name.,Tell me my username.,Tell me my email address.,Where am I?,My birthday is...,My email address is...,My name is...,Change my first name to Daniel.,Change my preferred name to Dan.,Tell me my language settings.,I will speak to you in Spanish.,Speak to me in French.,Change my primary language to German.,Change my secondary language to Ukrainian.,No secondary language.
Device Control Center   	https://github.com/NeonGeckoCom/skill-device_controls            	Handles system-wide settings and controls.                                                                                                                                                                     	Skip wake words.,Require wake words.,I want you to exit.,I want you to shut down.,I want you to restart.
Wikipedia               	https://github.com/NeonGeckoCom/skill-wikipedia                  	Wikipedia ![](./logo.png)                                                                                                                                                                                      	Tell me about Elon Musk.,Tell me about beans.,Random Wikipedia.,Check Wikipedia for beans.,Tell me about the Pembroke Welsh Corgi.,Search for chocolate.,'More information.' (followup after an initial summary),'Tell me more.' (followup after an initial summary)
CaffeineWiz             	https://github.com/NeonGeckoCom/skill-caffeinewiz                	Provides the caffeine content of various drinks on request.                                                                                                                                                    	Tell me the caffeine content of Pepsi.,How much caffeine is in Starbucks Blonde?,Tell me the caffeine content of Rocket Chocolate.
Camera                  	https://github.com/NeonGeckoCom/skill-camera                     	Take pictures and videos.                                                                                                                                                                                      	take a picture,take a video,record for 30 seconds,show me my last picture
Messaging               	https://github.com/NeonGeckoCom/skill-messaging                  	Handles mobile requests for phone calls, SMS, and emails.                                                                                                                                                      	call daniel,call 555-555-5555,send a text message to daniel that says hello,send an email to demo@neongecko.com with the subject test email
Synonyms                	https://github.com/NeonGeckoCom/skill-synonyms                   	This skill handles setting and calling synonym (aliased) commands.                                                                                                                                             	<No Examples Provided>
Personal                	https://github.com/NeonGeckoCom/skill-personal                   	Skill used for introduction between the user and Neon.                                                                                                                                                         	Who are you?,Who made you?,When were you born?,What is your email address?,Where were you born?,What are you?,How are you?,What is your name?,Where are you?
Playback Control        	https://github.com/NeonGeckoCom/skill-playback_control           	Common playback control system                                                                                                                                                                                 	play my summer playlist,play pandora,pause,resume,next song,next track,previous track,previous song
Translation             	https://github.com/NeonGeckoCom/skill-translation                	Translate phrases between languages.                                                                                                                                                                           	Translate hello to Polish.,Translate thank you to Ukrainian.
Wolfram Alpha           	https://github.com/NeonGeckoCom/skill-fallback_wolfram_alpha     	General knowledge fallback handler based on [Wolfram Alpha](https://wolframalpha.com) services                                                                                                                 	What is 2 + 2?,Who won best picture in 2006?,How far away is the moon?,Send me the source for that.
Alerts                  	https://github.com/NeonGeckoCom/skill-alerts                     	A skill to schedule alarms, timers, and reminders                                                                                                                                                              	Set an alarm for 8 AM.,When is my next alarm?,Cancel my 8 AM alarm.,Set a 5 minute timer.,How much time is left?,Remind me to go home at 6.,Remind me to take out the trash every thursday at 7 PM.,What are my reminders?,Cancel all alarms.,Cancel all timers.,Cancel all reminders.,Go to sleep.,Start quiet hours.,Stop.,Snooze.,Snooze for 1 minute.,Wake up.,What did I miss?,Did I miss anything?
AVmusic                 	https://github.com/NeonGeckoCom/skill-avmusic                    	Play a song or video requested by the user.                                                                                                                                                                    	play some imagine dragons music on repeat,av play study music playlist,play a cookie baking tutorial video
Custom Conversations    	https://github.com/NeonGeckoCom/skill-custom_conversation        	Create your own or use text script files shared by other users.                                                                                                                                                	tell me available script files,what scripts are available,update my conversations,update my skill files,set my startup script to
Instructions            	https://github.com/NeonGeckoCom/skill-instructions               	Neon skill for instructions reading and implementation                                                                                                                                                         	start instructions
Launcher                	https://github.com/NeonGeckoCom/skill-launcher                   	Browse the web by voice                                                                                                                                                                                        	browse to neon.ai,navigate to google.com
Free Music Archive      	https://github.com/NeonGeckoCom/skill-free_music_archive         	[OCP](https://github.com/OpenVoiceOS/ovos-ocp-audio-plugin) skill to play royalty free music from [Free Music Archive](https://freemusicarchive.org/).                                                         	Play jazz.,Play classical music.,Play electronic music.,Play Mozart.
Communication           	https://github.com/NeonGeckoCom/skill-communication              	Skill for the Common Message Skill framework.                                                                                                                                                                  	<No Examples Provided>
Script Generator        	https://github.com/NeonGeckoCom/skill-generate_script.git        	A skill that generates scripts, which can be used by custom-conversations.neon after compiling                                                                                                                 	<No Examples Provided>
Spelling                	https://github.com/NeonGeckoCom/skill-spelling                   	Let Neon help you spell words                                                                                                                                                                                  	How do you spell aardvark?,Spell succotash.,How do you spell bureacracy?,Spell omnipotence.
Klat                    	https://github.com/NeonGeckoCom/skill-klat.git                   	Skill that acts as a connector to klat.com via the klat_api                                                                                                                                                    	(enable/disable) klat connection
Gesture Detection       	https://github.com/NeonGeckoCom/skill-gesture_detection.git      	Recognizes claps and other gestures and execute some action.                                                                                                                                                   	(enable/disable) clap commands,change clap commands to my (home/audio/default) set
Data Controls           	https://github.com/NeonGeckoCom/skill-data_controls              	Manage user data                                                                                                                                                                                               	Clear my user transcriptions.,Erase all pictures.,Delete my profile.
Demo                    	https://github.com/NeonGeckoCom/skill-demo                       	Skill to demo Neon capabilities                                                                                                                                                                                	Show me the demo.
Stock                   	https://github.com/NeonGeckoCom/skill-stock                      	This skill provides stock values.                                                                                                                                                                              	What is the share price for Amazon?,What is the stock price for Microsoft?
Running Out             	https://github.com/NeonGeckoCom/skill-running_out.git            	Notify a caregiver when a user is running out of something                                                                                                                                                     	i'm out of toothpaste,i can't find my toothbrush,i need a new toothbrush
Query                   	https://github.com/NeonGeckoCom/skill-query                      	Negotiates the best answer to a question                                                                                                                                                                       	how tall is abraham lincoln?,what is an aardwark?
Audio Record            	https://github.com/NeonGeckoCom/skill-audio_record               	Record and playback short audio clips with Neon.                                                                                                                                                               	record audio,record audio for 30 seconds,record my daily prescriptions,record my daily prescriptions for 1 minute
Local Music             	https://github.com/NeonGeckoCom/skill-local_music                	[OCP](https://github.com/OpenVoiceOS/ovos-ocp-audio-plugin) skill to play media from local storage.                                                                                                            	play local music,play music by Daft Punk,play the black album,play stressed out by twenty one pilots
Support Helper          	https://github.com/NeonGeckoCom/skill-support_helper             	Get diagnostic information sent via email.                                                                                                                                                                     	Create a troubleshooting package.,Create a support ticket.
Speak                   	https://github.com/NeonGeckoCom/skill-speak                      	Have Neon repeat whatever you want                                                                                                                                                                             	Say Goodnight, Gracie.,Repeat I can say anything you'd like!
Latest news             	https://github.com/NeonGeckoCom/skill-news                       	Listen to the latest news report from your favorite broadcast                                                                                                                                                  	play the news,play the bbc news,tell me the news,what's the news?,restart news
Conversations by Example	https://github.com/NeonGeckoCom/skill-conversation_by_example.git	Coming Soon                                                                                                                                                                                                    	<No Examples Provided>
